,days_left,DummyEconomy,price
10263,3,1,9840
10317,3,1,12518
10318,3,1,12518
10355,3,1,16245
10356,3,1,16245
10365,3,1,18030
10381,3,1,24120
10410,4,1,7425
10462,4,1,9840
10463,4,1,9840
10504,4,1,10680
10523,4,1,11520
10541,4,1,12360
10547,4,1,13515
10549,4,1,14303
10554,4,1,14911
10589,5,1,7425
10636,5,1,9840
10637,5,1,9840
10641,5,1,9840
10696,5,1,10680
10734,5,1,20340
10735,5,1,21128
10736,5,1,21526
10763,6,1,7425
10818,6,1,9840
10820,6,1,9840
10831,6,1,10208
10832,6,1,10208
10865,6,1,10680
10879,6,1,11520
10901,6,1,13161
10912,6,1,16486
10916,6,1,25118
10917,6,1,25118
10941,7,1,7425
11043,7,1,10680
11046,7,1,10680
11077,7,1,13161
11085,7,1,15646
11093,7,1,20340
11125,8,1,7425
11186,8,1,9840
11187,8,1,9840
11188,8,1,9840
11189,8,1,9840
11194,8,1,9840
11235,8,1,10680
11236,8,1,10680
11255,8,1,11520
11266,8,1,12780
11271,8,1,13756
11288,8,1,20340
11337,9,1,9630
11341,9,1,9840
11342,9,1,9840
11440,9,1,16665
11445,9,1,19951
11447,9,1,20340
11448,9,1,21758
11502,10,1,9840
11504,10,1,9840
11505,10,1,9840
11506,10,1,9840
11507,10,1,9840
11508,10,1,9840
11526,10,1,10470
11534,10,1,10680
11535,10,1,10680
11636,10,1,17190
11642,10,1,23018
11675,11,1,7425
11769,11,1,9840
11770,11,1,9840
11811,11,1,10680
11812,11,1,10680
11831,11,1,11520
11835,11,1,11520
11851,11,1,13021
11856,11,1,15405
11890,12,1,7425
11974,12,1,9840
11975,12,1,9840
12023,12,1,10680
12024,12,1,10680
12069,12,1,13161
12070,12,1,13161
12071,12,1,13231
12075,12,1,14355
12169,13,1,8790
12190,13,1,9840
12200,13,1,10260
12233,13,1,10680
12261,13,1,12391
12269,13,1,12780
12281,13,1,24120
12386,14,1,7709
12389,14,1,7709
12398,14,1,8790
12478,14,1,12391
12489,14,1,18765
12596,15,1,4230
12629,15,1,4545
12650,15,1,5267
12662,15,1,6047
12666,15,1,6358
12669,15,1,6403
12670,15,1,6403
12673,15,1,6403
12675,15,1,6677
12702,15,1,18765
12761,16,1,4030
12762,16,1,4030
12843,16,1,5267
12867,16,1,6403
12871,16,1,6883
12881,16,1,7517
12904,16,1,18450
12939,17,1,4030
12940,17,1,4030
12942,17,1,4030
12943,17,1,4030
12945,17,1,4041
12946,17,1,4041
12983,17,1,4230
13017,17,1,4545
13054,17,1,5267
13105,17,1,8882
13129,17,1,28005
13174,18,1,3621
13191,18,1,4007
13213,18,1,4041
13248,18,1,4230
13249,18,1,4230
13295,18,1,4728
13300,18,1,5071
13340,18,1,9998
13350,18,1,22381
13390,19,1,3610
13391,19,1,3610
13392,19,1,3621
13393,19,1,3621
13394,19,1,3621
13473,19,1,4230
13474,19,1,4230
13523,19,1,4847
13547,19,1,6148
13569,19,1,10628
13617,20,1,3610
13618,20,1,3610
13619,20,1,3621
13620,20,1,3621
13694,20,1,4230
13707,20,1,4427
13738,20,1,4728
13775,20,1,9298
13788,20,1,19290
13835,21,1,3621
13836,21,1,3621
13917,21,1,4427
13926,21,1,4444
13927,21,1,4444
13956,21,1,4742
13998,21,1,9578
14002,21,1,10978
14056,22,1,3621
14057,22,1,3621
14061,22,1,3621
14133,22,1,4230
14134,22,1,4230
14145,22,1,4427
14186,22,1,5491
14200,22,1,6121
14213,22,1,9578
14220,22,1,16921
14253,23,1,3610
14254,23,1,3621
14300,23,1,4030
14304,23,1,4041
14308,23,1,4041
14349,23,1,4427
14390,23,1,5148
14392,23,1,5372
14429,23,1,10628
14431,23,1,10873
14498,24,1,4030
14499,24,1,4030
14500,24,1,4030
14501,24,1,4030
14502,24,1,4041
14503,24,1,4041
14504,24,1,4041
14538,24,1,4230
14539,24,1,4230
14564,24,1,4427
14649,24,1,6677
14666,24,1,14145
14710,25,1,3621
14755,25,1,4041
14793,25,1,4230
14794,25,1,4230
14810,25,1,4427
14846,25,1,5148
14847,25,1,5148
14868,25,1,6533
14879,25,1,7618
14943,26,1,3610
14944,26,1,3610
14946,26,1,3621
14947,26,1,3621
14949,26,1,3621
15023,26,1,4230
15024,26,1,4230
15042,26,1,4427
15096,26,1,6148
15108,26,1,8423
15166,27,1,3610
15167,27,1,3610
15169,27,1,3621
15170,27,1,3621
15243,27,1,4230
15254,27,1,4427
15286,27,1,4728
15312,27,1,6883
15322,27,1,10365
15383,28,1,3621
15384,28,1,3621
15458,28,1,4230
15461,28,1,4230
15468,28,1,4427
15501,28,1,4742
15534,28,1,8108
15535,28,1,8353
15596,29,1,3621
15597,29,1,3621
15599,29,1,3621
15673,29,1,4230
15674,29,1,4230
15685,29,1,4427
15738,29,1,5704
15739,29,1,6047
15754,29,1,10138
15758,29,1,12308
15807,30,1,3610
15808,30,1,3610
15812,30,1,3621
15813,30,1,3621
15817,30,1,3621
15899,30,1,4427
15937,30,1,4728
15939,30,1,4742
15968,30,1,8738
15969,30,1,8878
16007,31,1,3610
16008,31,1,3610
16010,31,1,3610
16011,31,1,3610
16013,31,1,3621
16014,31,1,3621
16016,31,1,3621
16110,31,1,4230
16111,31,1,4230
16124,31,1,4427
16173,31,1,5491
16203,31,1,8790
16256,32,1,3621
16257,32,1,3621
16341,32,1,4230
16342,32,1,4230
16355,32,1,4427
16399,32,1,5704
16400,32,1,5704
16412,32,1,6463
16421,32,1,7478
16475,33,1,3610
16476,33,1,3610
16478,33,1,3621
16479,33,1,3621
16483,33,1,3621
16565,33,1,4230
16566,33,1,4230
16579,33,1,4427
16637,33,1,6883
16645,33,1,7478
16693,34,1,3610
16694,34,1,3610
16696,34,1,3621
16697,34,1,3621
16780,34,1,4230
16788,34,1,4427
16826,34,1,5148
16854,34,1,9403
16860,34,1,10418
16906,35,1,3621
16939,35,1,4041
16989,35,1,4230
16992,35,1,4230
16995,35,1,4427
17031,35,1,4742
17078,35,1,10978
17082,35,1,12098
17129,36,1,3621
17130,36,1,3621
17134,36,1,3621
17207,36,1,4230
17208,36,1,4230
17216,36,1,4427
17266,36,1,5704
17267,36,1,5704
17279,36,1,6883
17296,36,1,16875
17342,37,1,3610
17343,37,1,3610
17345,37,1,3621
17346,37,1,3621
17349,37,1,3621
17427,37,1,4427
17473,37,1,5148
17475,37,1,5372
17505,37,1,8038
17507,37,1,8108
17537,38,1,3610
17538,38,1,3610
17539,38,1,3621
17540,38,1,3621
17571,38,1,4030
17573,38,1,4030
17574,38,1,4041
17614,38,1,4230
17615,38,1,4230
17634,38,1,4427
17727,38,1,7307
17738,38,1,8790
17779,39,1,3621
17780,39,1,3621
17869,39,1,4230
17870,39,1,4230
17883,39,1,4427
17925,39,1,5148
17926,39,1,5148
17936,39,1,6008
17964,39,1,10138
18010,40,1,3610
18011,40,1,3610
18013,40,1,3621
18014,40,1,3621
18018,40,1,3621
18098,40,1,4230
18099,40,1,4230
18114,40,1,4427
18164,40,1,6148
18175,40,1,6533
18232,41,1,3610
18233,41,1,3610
18235,41,1,3621
18236,41,1,3621
18315,41,1,4230
18325,41,1,4427
18364,41,1,5148
18392,41,1,7478
18393,41,1,7618
18447,42,1,3621
18448,42,1,3621
18536,42,1,4230
18539,42,1,4230
18542,42,1,4427
18581,42,1,4742
18610,42,1,6953
18616,42,1,10138
18665,43,1,3621
18666,43,1,3621
18670,43,1,3621
18756,43,1,4230
18757,43,1,4230
18765,43,1,4427
18804,43,1,5148
18805,43,1,5148
18824,43,1,6953
18832,43,1,16921
18877,44,1,3610
18878,44,1,3610
18879,44,1,3621
18880,44,1,3621
18966,44,1,4427
19002,44,1,4742
19028,44,1,6953
19037,44,1,9298
19076,45,1,3610
19077,45,1,3621
19167,45,1,4230
19168,45,1,4230
19186,45,1,4427
19228,45,1,4742
19235,45,1,5148
19262,45,1,7257
19310,46,1,3621
19403,46,1,4230
19404,46,1,4230
19411,46,1,4427
19453,46,1,5623
19468,46,1,6680
19528,47,1,3621
19533,47,1,3855
19615,47,1,4230
19616,47,1,4230
19632,47,1,4427
19696,47,1,7257
19750,48,1,3610
19751,48,1,3621
19828,48,1,4230
19829,48,1,4230
19839,48,1,4427
19944,49,1,3610
19945,49,1,3621
20021,49,1,4230
20022,49,1,4230
20041,49,1,4427
20083,49,1,4742
20097,49,1,5623
20167,1,1,12465
20174,1,1,12780
20211,1,1,18073
20292,2,1,12465
20293,2,1,12465
20336,2,1,17641
20337,2,1,18345
20342,2,1,23123
20396,3,1,10535
20404,3,1,12045
20405,3,1,12045
20465,3,1,17610
20466,3,1,17653
20480,3,1,22755
20491,3,1,26430
20558,4,1,10618
20567,4,1,12045
20568,4,1,12045
20569,4,1,12150
20570,4,1,12150
20577,4,1,12150
20578,4,1,12150
20579,4,1,12255
20589,4,1,12990
20592,4,1,12990
20594,4,1,13138
20636,4,1,17641
20705,5,1,9578
20710,5,1,10933
20717,5,1,12045
20718,5,1,12045
20721,5,1,12150
20722,5,1,12150
20724,5,1,12150
20728,5,1,12150
20732,5,1,12465
20735,5,1,12990
20744,5,1,13935
20758,5,1,14355
20879,6,1,11563
20883,6,1,11625
20884,6,1,11625
20886,6,1,12150
20893,6,1,12150
20894,6,1,12150
20896,6,1,12601
20901,6,1,13138
20907,6,1,13410
20913,6,1,13410
21038,7,1,9578
21043,7,1,10618
21049,7,1,12045
21052,7,1,12150
21053,7,1,12150
21058,7,1,12150
21060,7,1,12150
21061,7,1,12150
21062,7,1,12465
21065,7,1,12990
21066,7,1,12990
21070,7,1,13138
21107,7,1,14355
21108,7,1,14355
21129,7,1,17431
21206,8,1,11625
21207,8,1,11625
21210,8,1,11983
21211,8,1,12150
21217,8,1,12150
21222,8,1,12465
21231,8,1,12990
21232,8,1,12990
21254,8,1,13830
21255,8,1,13830
21351,9,1,10618
21355,9,1,12150
21356,9,1,12150
21358,9,1,12150
21362,9,1,12465
21363,9,1,12465
21372,9,1,12990
21373,9,1,12990
21377,9,1,13138
21392,9,1,13830
21393,9,1,13830
21399,9,1,13883
21430,9,1,16140
21439,9,1,17641
21522,10,1,12465
21523,10,1,12465
21524,10,1,12780
21528,10,1,12990
21529,10,1,12990
21545,10,1,13830
21546,10,1,13830
21551,10,1,14188
21575,10,1,15195
21702,11,1,10618
21703,11,1,11026
21704,11,1,11026
21707,11,1,11310
21708,11,1,11310
21710,11,1,12150
21711,11,1,12150
21716,11,1,12150
21737,11,1,12990
21738,11,1,12990
21741,11,1,13138
21774,11,1,13830
21775,11,1,13830
21881,12,1,8370
21891,12,1,10618
21893,12,1,10680
21899,12,1,11625
21900,12,1,11625
21904,12,1,12150
21905,12,1,12150
21909,12,1,12150
21913,12,1,12150
21914,12,1,12150
21937,12,1,12990
21939,12,1,12990
21945,12,1,12990
21946,12,1,12990
22079,13,1,10081
22081,13,1,10081
22082,13,1,10303
22086,13,1,11625
22089,13,1,12045
22090,13,1,12150
22095,13,1,12150
22098,13,1,12570
22121,13,1,12990
22135,13,1,13138
22142,13,1,13410
22264,14,1,7351
22269,14,1,8727
22271,14,1,8864
22275,14,1,9147
22276,14,1,9210
22288,14,1,10210
22289,14,1,10210
22292,14,1,10618
22320,14,1,11729
22322,14,1,11777
22325,14,1,12150
22326,14,1,12150
22341,14,1,12990
22342,14,1,12990
22345,14,1,13138
22409,15,1,4979
22419,15,1,5805
22465,15,1,6120
22470,15,1,6311
22479,15,1,6590
22480,15,1,6626
22481,15,1,6891
22525,15,1,8265
22551,15,1,16378
22588,16,1,4559
22589,16,1,4559
22603,16,1,5686
22604,16,1,5686
22607,16,1,5710
22608,16,1,5710
22610,16,1,5805
22617,16,1,5805
22655,16,1,6030
22658,16,1,6120
22664,16,1,6120
22683,16,1,6542
22685,16,1,7005
22691,16,1,7320
22782,17,1,4559
22783,17,1,4748
22787,17,1,4947
22796,17,1,5276
22801,17,1,5290
22802,17,1,5290
22804,17,1,5591
22811,17,1,5805
22852,17,1,6120
22901,17,1,8046
22907,17,1,8206
22967,18,1,4345
22972,18,1,4426
22974,18,1,4426
22977,18,1,4559
22978,18,1,4559
22982,18,1,4559
